timestamp,page_name,email,settore,citta,oggetto,stato
2026-05-18 13:41:23,Centro Riabilitativo Napoli,info@riabilitazionenapoli.it,fisioterapista,Napoli,Re: 20% dei potenziali clienti non trovano il Centro Riabilitativo Napoli online,inviata
2026-05-18 13:41:23,Studio Dott. Nicola Di Bari,nicola.studiodibari@virgilio.it,commercialista,Bari,Re: Studio Dott. Di Bari a Bari — nessuno può contattare online,inviata
2026-05-18 13:41:23,Studio Medico Datini,claudioazzini@datini.it,medico,Prato,Re: Studio medico Datini a Prato: 30% di pazienti online persi,inviata
2026-05-18 13:41:23,Studio Dott.ssa Franchi,info@dibiessebari.it,commercialista,Bari,Re: Ho cercato commercialisti a Bari — il tuo sito manca,inviata
2026-05-18 13:41:23,Salus Verona Studio,info@studiomedicosalus.it,medico,Verona,Re: Ho cercato studi medici a Verona — e trovato il vostro sito,inviata
2026-05-18 13:41:23,Roma Nord Studio Medico,info@studiomedicoromanord.it,medico,Roma,Re: Ho cercato studi medici a Roma — ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Avv. Scognamiglio,info@bianchibandinelli.it,avvocato,Roma,Re: Ho cercato avvocati a Roma — ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Studio Legale Marone,info@studiomarone.com,avvocato,Napoli,Re: Studio Legale Marone online - 15 clienti al mese che vanno altrove,inviata
2026-05-18 13:41:23,Studio Legale Civale,avvocato@studiocivale.it,avvocato,Roma,Re: Studio Legale Civale a Roma: 30% di clienti potenziali persi,inviata
2026-05-18 13:41:23,Centro Vertumno,info@coopquadrifoglio.net,medico,Roma,Re: 20% di pazienti a Roma non riescono a trovare disponibilità online,inviata
2026-05-18 13:41:23,Dott. Fabio Gherardelli,info@fabiogherardelli.it,psicologo,Bologna,Re: Vincerelapauradivolare.it su Google — 30% di potenziali clienti non trovano il tuo studio,inviata
2026-05-18 13:41:23,Berti Vettori Tax & Legal,info@bertivettori.it,commercialista,Firenze,Re: Ho cercato commercialisti a Firenze — ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Studio Spiniello,info@studiospiniello.it,commercialista,Milano,Re: Studio Spiniello a Milano - 20% di perdita di clienti online,inviata
2026-05-18 13:41:23,Dott.ssa Laura Rossi,info@laurarossi.it,psicologo,Milano,Re: Ho cercato psicologi a Milano con recensioni su Google — ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Fitness World Milano,info@fitnessworld.it,palestra,Milano,Re: 89 recensioni Google a Milano — nessuno può prenotare il trial,inviata
2026-05-18 13:41:23,Studio Dott. Verdi,info@studioverdi.it,commercialista,Roma,Re: Studio Dott. Verdi: 5 fatture online,inviata
2026-05-18 13:41:23,Riabilita Roma,info@riabilitaroma.it,fisioterapista,Roma,Re: Ho cercato fisioterapisti a Roma su Google - ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Dott. Paolo Bianchi,info@paolobianchi.it,psicologo,Bologna,Re: Ho cercato psicologi a Bologna su Google — ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Estetica & Benessere,info@esteticabenessere.it,estetica,Firenze,Re: Ho cercato saloni estetici a Firenze con recensioni positive su Google,inviata
2026-05-18 13:41:23,Studio Dott. Blu,info@studioblu.it,commercialista,Torino,Re: Studio Dott. Blu di Torino: fatturato 2022,inviata
2026-05-18 13:41:23,Studio Legale Arancio,info@studiolegalearancio.it,avvocato,Bari,"Re: Studio legale di successo, ma visibilità online limitata — Studio Legale Arancio",inviata
2026-05-18 13:41:23,Dott. Marco Neri,info@marconeri.it,psicologo,Bari,Re: Psicologi a Bari — 20 prenotazioni mancate al mese,inviata
2026-05-18 13:41:23,Studio Dott. Marrone,info@studiomarrone.it,commercialista,Bari,Re: Studio Dott. Marrone di Bari — 30% di prenotazioni mancate,inviata
2026-05-18 13:41:23,Dott.ssa Anna Viola,info@annaviola.it,psicologo,Verona,Re: Sito web di psicologo a Verona — e questo è ciò che ho trovato,inviata
2026-05-18 13:41:23,Studio Dott. Nero,info@studionero.it,commercialista,Verona,"Re: Studio Dott. Nero, Verona: nostro cliente",inviata
2026-05-18 13:41:23,Studio Medico Verona,info@studiomedicoverona.it,medico,Verona,Re: Studio Medico Verona su Google — ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Studio Legale Celeste,info@studiolegaleceleste.it,avvocato,Napoli,"Re: Studio Legale Celeste, Napoli - 5 avvocati trovati",inviata
2026-05-18 13:41:23,Dott. Luca Rossi,info@lucarossi.it,psicologo,Napoli,Re: Psicologi a Napoli — solo il 30% dei pazienti riesce a contattarti online,inviata
2026-05-18 13:41:23,Studio Dott. Bianco,info@studiobianco.it,commercialista,Napoli,"Re: Studio Dott. Bianco, Napoli — analisi conti aziendali",inviata
2026-05-18 13:41:23,Studio Medico Napoli,info@studiomediconapoli.it,medico,Napoli,Re: Ho cercato studi medici a Napoli su Google — ecco cosa ho trovato,inviata
2026-05-18 13:41:23,Fisio Roma,info@fisioroma.it,fisioterapista,Roma,Re: Ho trovato il tuo sito web fisioterapista,inviata
2026-05-18 13:41:23,Studio Legale Marrone,info@studiolegalemarrone.it,avvocato,Roma,Re: Studio Legale Marrone a Roma - tasso di conversione da ricerca Google a primo contatto del 10%,inviata
